instance,algo,seed,epsilon,horizon,reg
../instances/i-1.txt,thompson-sampling,0,0.02,100,8.0
../instances/i-1.txt,thompson-sampling,0,0.02,400,16.0
../instances/i-1.txt,thompson-sampling,0,0.02,1000,16.0
../instances/i-1.txt,thompson-sampling,1,0.02,100,14.0
../instances/i-1.txt,thompson-sampling,1,0.02,400,18.0
../instances/i-1.txt,thompson-sampling,1,0.02,1000,26.0
../instances/i-1.txt,thompson-sampling,2,0.02,100,-1.0
../instances/i-1.txt,thompson-sampling,2,0.02,400,15.0
../instances/i-1.txt,thompson-sampling,2,0.02,1000,28.0
../instances/i-1.txt,thompson-sampling,3,0.02,100,3.0
../instances/i-1.txt,thompson-sampling,3,0.02,400,6.0
../instances/i-1.txt,thompson-sampling,3,0.02,1000,-2.0
../instances/i-1.txt,thompson-sampling,4,0.02,100,10.0
../instances/i-1.txt,thompson-sampling,4,0.02,400,23.0
../instances/i-1.txt,thompson-sampling,4,0.02,1000,48.0
../instances/i-1.txt,thompson-sampling,5,0.02,100,3.0
../instances/i-1.txt,thompson-sampling,5,0.02,400,3.0
../instances/i-1.txt,thompson-sampling,5,0.02,1000,-11.0
../instances/i-1.txt,thompson-sampling,6,0.02,100,9.0
../instances/i-1.txt,thompson-sampling,6,0.02,400,12.0
../instances/i-1.txt,thompson-sampling,6,0.02,1000,17.0
../instances/i-1.txt,thompson-sampling,7,0.02,100,-5.0
../instances/i-1.txt,thompson-sampling,7,0.02,400,-1.0
../instances/i-1.txt,thompson-sampling,7,0.02,1000,11.0
../instances/i-1.txt,thompson-sampling,8,0.02,100,2.0
../instances/i-1.txt,thompson-sampling,8,0.02,400,-4.0
../instances/i-1.txt,thompson-sampling,8,0.02,1000,-14.0
../instances/i-1.txt,thompson-sampling,9,0.02,100,7.0
../instances/i-1.txt,thompson-sampling,9,0.02,400,6.0
../instances/i-1.txt,thompson-sampling,9,0.02,1000,4.0
../instances/i-1.txt,thompson-sampling,10,0.02,100,1.0
../instances/i-1.txt,thompson-sampling,10,0.02,400,9.0
../instances/i-1.txt,thompson-sampling,10,0.02,1000,-9.0
../instances/i-1.txt,thompson-sampling,11,0.02,100,5.0
../instances/i-1.txt,thompson-sampling,11,0.02,400,1.0
../instances/i-1.txt,thompson-sampling,11,0.02,1000,-4.0
../instances/i-1.txt,thompson-sampling,12,0.02,100,1.0
../instances/i-1.txt,thompson-sampling,12,0.02,400,-16.0
../instances/i-1.txt,thompson-sampling,12,0.02,1000,-13.0
../instances/i-1.txt,thompson-sampling,13,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,13,0.02,400,12.0
../instances/i-1.txt,thompson-sampling,13,0.02,1000,31.0
../instances/i-1.txt,thompson-sampling,14,0.02,100,2.0
../instances/i-1.txt,thompson-sampling,14,0.02,400,-2.0
../instances/i-1.txt,thompson-sampling,14,0.02,1000,-5.0
../instances/i-1.txt,thompson-sampling,15,0.02,100,-2.0
../instances/i-1.txt,thompson-sampling,15,0.02,400,-3.0
../instances/i-1.txt,thompson-sampling,15,0.02,1000,8.0
../instances/i-1.txt,thompson-sampling,16,0.02,100,3.0
../instances/i-1.txt,thompson-sampling,16,0.02,400,3.0
../instances/i-1.txt,thompson-sampling,16,0.02,1000,14.0
../instances/i-1.txt,thompson-sampling,17,0.02,100,-2.0
../instances/i-1.txt,thompson-sampling,17,0.02,400,2.0
../instances/i-1.txt,thompson-sampling,17,0.02,1000,-1.0
../instances/i-1.txt,thompson-sampling,18,0.02,100,7.0
../instances/i-1.txt,thompson-sampling,18,0.02,400,2.0
../instances/i-1.txt,thompson-sampling,18,0.02,1000,-5.0
../instances/i-1.txt,thompson-sampling,19,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,19,0.02,400,-3.0
../instances/i-1.txt,thompson-sampling,19,0.02,1000,-9.0
../instances/i-1.txt,thompson-sampling,20,0.02,100,4.0
../instances/i-1.txt,thompson-sampling,20,0.02,400,3.0
../instances/i-1.txt,thompson-sampling,20,0.02,1000,14.0
../instances/i-1.txt,thompson-sampling,21,0.02,100,-2.0
../instances/i-1.txt,thompson-sampling,21,0.02,400,15.0
../instances/i-1.txt,thompson-sampling,21,0.02,1000,19.0
../instances/i-1.txt,thompson-sampling,22,0.02,100,-5.0
../instances/i-1.txt,thompson-sampling,22,0.02,400,-6.0
../instances/i-1.txt,thompson-sampling,22,0.02,1000,6.0
../instances/i-1.txt,thompson-sampling,23,0.02,100,2.0
../instances/i-1.txt,thompson-sampling,23,0.02,400,-2.0
../instances/i-1.txt,thompson-sampling,23,0.02,1000,-13.0
../instances/i-1.txt,thompson-sampling,24,0.02,100,7.0
../instances/i-1.txt,thompson-sampling,24,0.02,400,-2.0
../instances/i-1.txt,thompson-sampling,24,0.02,1000,-5.0
../instances/i-1.txt,thompson-sampling,25,0.02,100,4.0
../instances/i-1.txt,thompson-sampling,25,0.02,400,7.0
../instances/i-1.txt,thompson-sampling,25,0.02,1000,6.0
../instances/i-1.txt,thompson-sampling,26,0.02,100,7.0
../instances/i-1.txt,thompson-sampling,26,0.02,400,3.0
../instances/i-1.txt,thompson-sampling,26,0.02,1000,10.0
../instances/i-1.txt,thompson-sampling,27,0.02,100,1.0
../instances/i-1.txt,thompson-sampling,27,0.02,400,-1.0
../instances/i-1.txt,thompson-sampling,27,0.02,1000,-8.0
../instances/i-1.txt,thompson-sampling,28,0.02,100,2.0
../instances/i-1.txt,thompson-sampling,28,0.02,400,8.0
../instances/i-1.txt,thompson-sampling,28,0.02,1000,15.0
../instances/i-1.txt,thompson-sampling,29,0.02,100,4.0
../instances/i-1.txt,thompson-sampling,29,0.02,400,9.0
../instances/i-1.txt,thompson-sampling,29,0.02,1000,18.0
../instances/i-1.txt,thompson-sampling,30,0.02,100,8.0
../instances/i-1.txt,thompson-sampling,30,0.02,400,6.0
../instances/i-1.txt,thompson-sampling,30,0.02,1000,17.0
../instances/i-1.txt,thompson-sampling,31,0.02,100,-2.0
../instances/i-1.txt,thompson-sampling,31,0.02,400,5.0
../instances/i-1.txt,thompson-sampling,31,0.02,1000,-3.0
../instances/i-1.txt,thompson-sampling,32,0.02,100,4.0
../instances/i-1.txt,thompson-sampling,32,0.02,400,8.0
../instances/i-1.txt,thompson-sampling,32,0.02,1000,4.0
../instances/i-1.txt,thompson-sampling,33,0.02,100,-2.0
../instances/i-1.txt,thompson-sampling,33,0.02,400,-7.0
../instances/i-1.txt,thompson-sampling,33,0.02,1000,2.0
../instances/i-1.txt,thompson-sampling,34,0.02,100,-1.0
../instances/i-1.txt,thompson-sampling,34,0.02,400,11.0
../instances/i-1.txt,thompson-sampling,34,0.02,1000,14.0
../instances/i-1.txt,thompson-sampling,35,0.02,100,-2.0
../instances/i-1.txt,thompson-sampling,35,0.02,400,2.0
../instances/i-1.txt,thompson-sampling,35,0.02,1000,15.0
../instances/i-1.txt,thompson-sampling,36,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,36,0.02,400,1.0
../instances/i-1.txt,thompson-sampling,36,0.02,1000,13.0
../instances/i-1.txt,thompson-sampling,37,0.02,100,3.0
../instances/i-1.txt,thompson-sampling,37,0.02,400,7.0
../instances/i-1.txt,thompson-sampling,37,0.02,1000,11.0
../instances/i-1.txt,thompson-sampling,38,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,38,0.02,400,6.0
../instances/i-1.txt,thompson-sampling,38,0.02,1000,1.0
../instances/i-1.txt,thompson-sampling,39,0.02,100,3.0
../instances/i-1.txt,thompson-sampling,39,0.02,400,7.0
../instances/i-1.txt,thompson-sampling,39,0.02,1000,19.0
../instances/i-1.txt,thompson-sampling,40,0.02,100,-5.0
